horizon,horizon_days,ablation_group,available_models,mean_RMSE_of_members,best_member_RMSE
12M,365,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",121.78555695767668,100.82005786467478
12M,365,NeuralOnly,"LSTM, VS-LSTM",103.1429253914822,101.06761926966038
12M,365,HybridOnly,"Adaptive Ensemble, GLS-LSTM",96.65117488757207,52.37780848314349
15D,15,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",75.96872163728173,14.674116074579382
15D,15,NeuralOnly,"LSTM, VS-LSTM",14.963203264153453,14.915919957457408
15D,15,HybridOnly,"Adaptive Ensemble, GLS-LSTM",43.30779763035925,14.93727341708658
1M,30,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",304.0743174130472,21.933759370414652
1M,30,NeuralOnly,"LSTM, VS-LSTM",22.444807982471698,21.99820647221845
1M,30,HybridOnly,"Adaptive Ensemble, GLS-LSTM",469.6581395810126,21.00323464444434
24M,730,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",150.68072537763518,129.6622681031548
24M,730,NeuralOnly,"LSTM, VS-LSTM",124.68053945434747,119.01720127397087
24M,730,HybridOnly,"Adaptive Ensemble, GLS-LSTM",111.60236156665687,42.08174798570141
2M,60,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",458.6650550636291,33.08641434788151
2M,60,NeuralOnly,"LSTM, VS-LSTM",34.10697429959639,33.858557871416075
2M,60,HybridOnly,"Adaptive Ensemble, GLS-LSTM",859.8256133364993,29.61867407006924
36M,1095,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",196.358783527771,142.3474916749391
36M,1095,NeuralOnly,"LSTM, VS-LSTM",106.09401898023242,97.27989050850252
36M,1095,HybridOnly,"Adaptive Ensemble, GLS-LSTM",103.72399012790906,37.12088470052458
3M,90,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",464.26445261713945,42.72136663620042
3M,90,NeuralOnly,"LSTM, VS-LSTM",44.14589220185786,43.57177095936723
3M,90,HybridOnly,"Adaptive Ensemble, GLS-LSTM",924.9791852397225,34.95789631804198
6M,180,ClassicalOnly,"ARIMA, GLS, Historical Mean, OLS, Zero Return",87.18358177691694,66.95383259175877
6M,180,NeuralOnly,"LSTM, VS-LSTM",69.54297966775374,69.44399174084059
6M,180,HybridOnly,"Adaptive Ensemble, GLS-LSTM",69.15079146960817,46.87883545426791
