horizon,horizon_days,model_1,model_2,n,DM_HAC,p_value_HAC,HAC_bandwidth,overlap_warning
12M,365,ARIMA,Adaptive Ensemble,3032,2.945432662055377,0.0032250333853653945,364,False
12M,365,ARIMA,GLS,3032,-0.5602688674283796,0.5752960592975667,364,False
12M,365,ARIMA,GLS-LSTM,3032,-0.7690491750954348,0.4418641184790939,364,False
12M,365,ARIMA,Historical Mean,3032,2.294966699831399,0.021735032757018935,364,False
12M,365,ARIMA,Historical Median,3032,2.0459858946665634,0.0407577584719272,364,False
12M,365,ARIMA,LSTM,3032,0.7802401275544181,0.43524954691448103,364,False
12M,365,ARIMA,Majority Direction,3032,0.3364621212411889,0.7365224110675124,364,False
12M,365,ARIMA,OLS,3032,-1.4528347572292803,0.14626963908087443,364,False
12M,365,ARIMA,Persistence Direction,3032,-1.0338330107940703,0.3012142363791006,364,False
12M,365,ARIMA,Random Walk with Drift,3032,2.294966699831399,0.021735032757018935,364,False
12M,365,ARIMA,VS-LSTM,3032,0.6292417976470008,0.5291907686658059,364,False
12M,365,ARIMA,Zero Return,3032,0.4570885087815246,0.6476074294595298,364,False
12M,365,Adaptive Ensemble,GLS,3032,-3.185638378082623,0.0014443501161160999,364,False
12M,365,Adaptive Ensemble,GLS-LSTM,3032,-3.1867747478353268,0.0014386877205829762,364,False
12M,365,Adaptive Ensemble,Historical Mean,3032,-2.674951310029834,0.0074740104031636445,364,False
12M,365,Adaptive Ensemble,Historical Median,3032,-2.964661664761146,0.0030301598373847494,364,False
12M,365,Adaptive Ensemble,LSTM,3032,-2.7458594132745096,0.006035261989938867,364,False
12M,365,Adaptive Ensemble,Majority Direction,3032,-2.663670159757519,0.007729330929445499,364,False
12M,365,Adaptive Ensemble,OLS,3032,-3.5202280895269045,0.00043117583618546007,364,False
12M,365,Adaptive Ensemble,Persistence Direction,3032,-8.847918563434037,0.0,364,False
12M,365,Adaptive Ensemble,Random Walk with Drift,3032,-2.674951310029834,0.0074740104031636445,364,False
12M,365,Adaptive Ensemble,VS-LSTM,3032,-3.353572647764465,0.0007977546884481157,364,False
12M,365,Adaptive Ensemble,Zero Return,3032,-3.267348887483399,0.0010855980436883517,364,False
12M,365,GLS,GLS-LSTM,3032,-1.0891589074712213,0.27608381645757407,364,False
12M,365,GLS,Historical Mean,3032,1.3028305483229183,0.19263261902171136,364,False
12M,365,GLS,Historical Median,3032,1.3648848561348452,0.17228924270624968,364,False
12M,365,GLS,LSTM,3032,2.1666985852854297,0.030257844546599078,364,False
12M,365,GLS,Majority Direction,3032,0.5631521965127694,0.5733312511454574,364,False
12M,365,GLS,OLS,3032,-0.35175472997266727,0.7250222116620093,364,False
12M,365,GLS,Persistence Direction,3032,-0.46273709119484174,0.643552828317542,364,False
12M,365,GLS,Random Walk with Drift,3032,1.3028305483229183,0.19263261902171136,364,False
12M,365,GLS,VS-LSTM,3032,1.7379808563773576,0.08221418701277527,364,False
12M,365,GLS,Zero Return,3032,1.8747944810360873,0.060821002746922925,364,False
12M,365,GLS-LSTM,Historical Mean,3032,1.4398083564965682,0.14992162631709594,364,False
12M,365,GLS-LSTM,Historical Median,3032,1.5055018855977265,0.1321950924415738,364,False
12M,365,GLS-LSTM,LSTM,3032,2.8125747767112474,0.0049146594927185205,364,False
12M,365,GLS-LSTM,Majority Direction,3032,0.7421371353025094,0.4580042522840926,364,False
12M,365,GLS-LSTM,OLS,3032,-0.12481019964163965,0.9006738123910212,364,False
12M,365,GLS-LSTM,Persistence Direction,3032,0.0465282676282118,0.962889204169423,364,False
12M,365,GLS-LSTM,Random Walk with Drift,3032,1.4398083564965682,0.14992162631709594,364,False
12M,365,GLS-LSTM,VS-LSTM,3032,2.2647423426329447,0.023528495460806154,364,False
12M,365,GLS-LSTM,Zero Return,3032,2.464449775616464,0.01372237936328946,364,False
12M,365,Historical Mean,Historical Median,3032,0.15715695381530753,0.8751211525380713,364,False
12M,365,Historical Mean,LSTM,3032,-0.011168685473125668,0.9910888635587511,364,False
12M,365,Historical Mean,Majority Direction,3032,-2.2609394374189082,0.023763007579898243,364,False
12M,365,Historical Mean,OLS,3032,-2.530755590929568,0.011381712700895719,364,False
12M,365,Historical Mean,Persistence Direction,3032,-2.354722108059352,0.018536562214254815,364,False
12M,365,Historical Mean,Random Walk with Drift,3032,,,364,False
12M,365,Historical Mean,VS-LSTM,3032,-0.20970168253819857,0.833900512257697,364,False
12M,365,Historical Mean,Zero Return,3032,-0.3501206906751531,0.7262481235403708,364,False
12M,365,Historical Median,LSTM,3032,-0.02695884196303956,0.9784925614451381,364,False
12M,365,Historical Median,Majority Direction,3032,-1.910110733310316,0.056118957323439966,364,False
12M,365,Historical Median,OLS,3032,-2.458805598529281,0.01394000789297234,364,False
12M,365,Historical Median,Persistence Direction,3032,-2.585544338486217,0.00972253671190959,364,False
12M,365,Historical Median,Random Walk with Drift,3032,-0.15715695381530753,0.8751211525380713,364,False
12M,365,Historical Median,VS-LSTM,3032,-0.2441774629494169,0.8070933808273786,364,False
12M,365,Historical Median,Zero Return,3032,-0.39040948925290675,0.6962337720875427,364,False
12M,365,LSTM,Majority Direction,3032,-0.5943893950341076,0.5522516998488289,364,False
12M,365,LSTM,OLS,3032,-1.5172756420983429,0.1291971053416896,364,False
12M,365,LSTM,Persistence Direction,3032,-6.390227326400463,1.6563928006974038e-10,364,False
12M,365,LSTM,Random Walk with Drift,3032,0.011168685473125668,0.9910888635587511,364,False
12M,365,LSTM,VS-LSTM,3032,-1.2722832003006512,0.2032725153770718,364,False
12M,365,LSTM,Zero Return,3032,-1.4543076158246044,0.1458610399460749,364,False
12M,365,Majority Direction,OLS,3032,-1.9610470283450794,0.04987353715368936,364,False
12M,365,Majority Direction,Persistence Direction,3032,-1.07000895012752,0.28461528010092785,364,False
12M,365,Majority Direction,Random Walk with Drift,3032,2.2609394374189082,0.023763007579898243,364,False
12M,365,Majority Direction,VS-LSTM,3032,0.4642482145677674,0.6424699212189264,364,False
12M,365,Majority Direction,Zero Return,3032,0.3031690373206505,0.7617610439196789,364,False
12M,365,OLS,Persistence Direction,3032,0.21502203412030477,0.8297501395897435,364,False
12M,365,OLS,Random Walk with Drift,3032,2.530755590929568,0.011381712700895719,364,False
12M,365,OLS,VS-LSTM,3032,1.4250297151006643,0.15414861169171612,364,False
12M,365,OLS,Zero Return,3032,1.2093533302678,0.2265271302869336,364,False
12M,365,Persistence Direction,Random Walk with Drift,3032,2.354722108059352,0.018536562214254815,364,False
12M,365,Persistence Direction,VS-LSTM,3032,6.262767197174461,3.7820502285512703e-10,364,False
