horizon,horizon_days,model,n,RMSE_return,MAE_return,Directional_Accuracy_pct,Balanced_Accuracy_pct,F1_positive,MCC_direction,DA_coverage_pct,AlwaysUp_accuracy_same_coverage_pct,DA_excess_vs_AlwaysUp_pp,McNemar_exact_p_vs_AlwaysUp,Price_RMSE,Price_MAE,Price_MAPE_pct,Skill_vs_HistoricalMean,Skill_vs_ZeroReturn
12M,365,ARIMA,3032,120.29539272270505,97.02478943095821,62.5,41.28540305010893,0.7692307692307692,-0.22091716034082223,100.0,75.69261213720317,-13.19261213720317,7.745183829698637e-121,55569.29289709738,29812.433081416315,211.2407292590931,-0.4236528566686768,-0.22159537001494556
12M,365,Adaptive Ensemble,3032,52.37780848314349,35.79090082415308,92.05145118733509,83.69598827017616,0.950093186995237,0.7802168156092613,100.0,75.69261213720317,16.35883905013192,1.2195305963090422e-147,10409.171697096039,6140.807186308897,32.19468536071297,0.730101319117455,0.7684077425231549
12M,365,GLS,3032,133.88204313270626,109.71783379704398,61.21372031662269,74.37908496732027,0.6555360281195078,0.4334110276405642,100.0,75.69261213720317,-14.478891820580479,8.439363160101008e-24,17608.669173597773,10995.510822215705,66.85297094210837,-0.7633997627240725,-0.5131223707652162
12M,365,GLS-LSTM,3032,140.92454129200064,116.89347281058006,47.75725593667546,65.49019607843137,0.47305389221556887,0.31364591036035,100.0,75.69261213720317,-27.935356200527707,1.3419575016856523e-70,17765.13950963606,11077.256356391958,59.5012967291204,-0.9537967147647988,-0.6764964924750274
12M,365,Historical Mean,3032,100.82005786467478,81.41557396354533,75.69261213720317,50.0,0.8616482072461048,,100.0,75.69261213720317,0.0,,38711.261585394015,22829.72978060467,150.90587441909486,0.0,0.14192890191401175
12M,365,Historical Median,3032,100.51443237860079,82.61576164871678,75.69261213720317,50.0,0.8616482072461048,,100.0,75.69261213720317,0.0,,36966.21210398835,21906.086484031737,145.16254443164127,0.0060536019647445816,0.14712332279927554
12M,365,LSTM,3032,101.06761926966038,79.3146285065877,77.53957783641161,64.71448461790868,0.8580362726704189,0.332367501488939,100.0,75.69261213720317,1.8469656992084396,0.016810700330798217,17860.300060676484,11644.7202354275,68.62376706296263,-0.0049169847943237865,0.13770977937227424
12M,365,Majority Direction,3032,117.37273147629053,97.76246084634519,75.69261213720317,50.0,0.8616482072461048,,100.0,75.69261213720317,0.0,,55579.529673795085,32657.360069869348,227.78873180117944,-0.35531591560206754,-0.16295741595408275
12M,365,OLS,3032,145.09109999766025,127.58061204042266,75.69261213720317,50.0,0.8616482072461048,,100.0,75.69261213720317,0.0,,59308.512882967116,41614.97724468944,347.07612770982183,-1.0710360654634687,-0.7770961908679235
12M,365,Persistence Direction,3032,140.25083784669752,114.78442606353916,53.624627606752725,51.95654114664239,0.6430573248407644,0.03370212349145471,99.63720316622691,75.67030784508441,-22.045680238331684,1.5758150873738453e-74,31111.40951108077,18118.892682807116,111.5692891784529,-0.9351607374539492,-0.660505498960001
12M,365,Random Walk with Drift,3032,100.82005786467478,81.41557396354533,75.69261213720317,50.0,0.8616482072461048,,100.0,75.69261213720317,0.0,,38711.261585394015,22829.72978060467,150.90587441909486,0.0,0.14192890191401175
12M,365,VS-LSTM,3032,105.218231513304,86.88153182500334,68.60158311345647,62.67905865798754,0.7815511702615878,0.2332548018766155,100.0,75.69261213720317,-7.0910290237466995,5.10901969726978e-12,21915.342168977288,13618.377531327258,74.02355605179177,-0.08915104187234801,0.0654309695190961
12M,365,Zero Return,3032,108.83919107063704,89.25775331883958,,,,,0.0,,,,18326.6488869766,12051.308185026384,66.23331375276852,-0.16540459436356492,0.0
15D,15,ARIMA,3732,15.129315918859492,11.721707712893435,52.81350482315113,50.54357189420748,0.6242799231918071,0.011767302039888959,100.0,55.73419078242229,-2.920685959271161,0.001272193309517533,3358.075593326135,1784.497232339893,11.922447975043436,-0.05066821045251868,-0.06300347188781807
15D,15,Adaptive Ensemble,3732,14.93727341708658,10.714278271019193,58.22615219721329,53.77386384801639,0.7118832008870818,0.12105797634366976,100.0,55.73419078242229,2.4919614147909996,3.953095800477898e-06,3101.5072349786396,1609.668911830274,11.027214202095221,-0.024164387006150756,-0.036188483044045316
15D,15,GLS,3732,319.43725259171725,219.77596888449753,56.69882100750267,52.584280126653006,0.6948640483383686,0.07437438740377625,100.0,55.73419078242229,0.9646302250803842,0.12328490350341244,1860085.407661401,324226.28122531035,112990.22937550956,-467.37977423838964,-472.87873852488747
15D,15,GLS-LSTM,3732,71.6783218436319,45.38649000169185,49.08896034297964,50.27879959024026,0.4662921348314607,0.00566165973772812,100.0,55.73419078242229,-6.645230439442649,1.8888988649630924e-07,16751.376908588496,7589.593554107208,209.01302260028208,-22.58319635223265,-22.86007242937169
15D,15,Historical Mean,3732,14.76000468946474,11.002047592262704,55.73419078242229,50.0,0.7157604955264968,,100.0,55.73419078242229,0.0,,3277.529080132061,1691.8563339465588,11.274406185691689,0.0,-0.011740396552006205
15D,15,Historical Median,3732,14.606512443379692,10.839255034569547,55.73419078242229,50.0,0.7157604955264968,,100.0,55.73419078242229,0.0,,3236.0216912426135,1657.7929455217056,10.948984695122551,0.0206902573525114,0.009192772626586798
15D,15,LSTM,3732,14.915919957457408,11.097432573056107,53.456591639871384,49.19607934438443,0.674047663726778,-0.02379202738092312,100.0,55.73419078242229,-2.277599142550905,0.00012751676762206348,3222.284748871431,1655.9089345032605,11.099606924250116,-0.021238307978110216,-0.033228050687873045
15D,15,Majority Direction,3732,19.65439598439399,16.217371519027946,55.73419078242229,50.0,0.7157604955264968,,100.0,55.73419078242229,0.0,,4569.014209510487,2549.095771926442,18.077225020768648,-0.7731538218006722,-0.7939713508163175
15D,15,OLS,3732,15.842918911787809,12.077654973235129,56.18971061093247,51.71650912646675,0.6977260122018857,0.05494186289975635,100.0,55.73419078242229,0.4555198285101838,0.4254765455911604,3646.1728149455707,1890.7723374160921,12.695100827914324,-0.15211918314598427,-0.16564551923129178
15D,15,Persistence Direction,3732,14.759418236914323,11.004050260773038,54.24731182795699,53.90698667035137,0.5805815672745195,0.07783228517936208,99.67845659163987,55.61827956989247,-1.3709677419354804,0.22944258406220336,3228.200543475379,1654.9741686265043,10.90069225672127,7.946351131038476e-05,-0.011660000107561741
15D,15,Random Walk with Drift,3732,14.76000468946474,11.002047592262704,55.73419078242229,50.0,0.7157604955264968,,100.0,55.73419078242229,0.0,,3277.529080132061,1691.8563339465588,11.274406185691689,0.0,-0.011740396552006205
15D,15,VS-LSTM,3732,15.010486570849496,11.135449004963856,54.42122186495176,50.036552430620226,0.6834170854271356,0.001127080200622828,100.0,55.73419078242229,-1.3129689174705277,0.02186126923767138,3192.575381138765,1646.2610249698055,11.188024911402154,-0.03422861503230257,-0.04637086909821386
15D,15,Zero Return,3732,14.674116074579382,10.844069797616461,,,,,0.0,,,,3207.115517205487,1627.8248357449088,10.70676548648833,0.011604159122258317,0.0
1M,30,ARIMA,3702,23.366604095113136,18.13864303109573,52.95865982166982,49.90828420641265,0.6384215991692627,-0.0020647174536654756,99.97298757428416,56.44420426911646,-3.4855444474466424,4.0457258358566775e-05,5226.135366083608,2827.0881306694423,18.978988681795883,-0.12265994464117558,-0.13491948239687446
1M,30,Adaptive Ensemble,3702,21.00323464444434,15.785336869683322,58.76790056741421,53.83610178329832,0.7160401935243768,0.12043632748362179,99.97298757428416,56.44420426911646,2.3236962982977474,2.8979284856312768e-05,4419.736329505053,2396.8334121405765,16.237737548458927,0.092953826179757,0.08304880830930483
1M,30,GLS,3702,1427.5155210992923,691.6415522561701,56.44420426911646,52.039752122366124,0.6908323743766782,0.05579854513855759,99.97298757428416,56.44420426911646,0.0,1.0,1.4811417660393165e+23,1.2163998084253704e+22,3.0002252986949016e+21,-4189.045172228729,-4234.800805741992
1M,30,GLS-LSTM,3702,918.3130445175809,282.3237912711085,47.74385301269927,49.45334298648124,0.43876958792803256,-0.011249363006628913,99.97298757428416,56.44420426911646,-8.700351256417193,3.128559187537156e-11,2.6245977727744737e+21,2.1565632587022644e+20,5.2790027346977776e+19,-1732.9578415445242,-1751.8928019719222
1M,30,Historical Mean,3702,22.05319341503958,17.045540030913145,56.44420426911646,50.0,0.7215889464594128,,99.97298757428416,56.44420426911646,0.0,,4908.008686420924,2672.1420630984744,17.786055024792763,0.0,-0.010920081200204823
1M,30,Historical Median,3702,21.67230646543932,16.584963426663453,56.44420426911646,50.0,0.7215889464594128,,99.97298757428416,56.44420426911646,0.0,,4777.713866034663,2579.062201702699,16.718579915382826,0.034244269235868985,0.023698138236361688
1M,30,LSTM,3702,21.99820647221845,16.825662290404065,54.68792218319373,49.04624186480762,0.6981098109810981,-0.03878571299057186,99.97298757428416,56.44420426911646,-1.7562820859227344,2.6703260269155923e-05,4695.11443568215,2530.15060058475,16.75435168803784,0.004980538661805922,-0.005885154651791291
1M,30,Majority Direction,3702,29.137602397622025,23.99034689480228,56.44420426911646,50.0,0.7215889464594128,,99.97298757428416,56.44420426911646,0.0,,6999.255220894201,3876.7091724164893,28.3112272088202,-0.7456800659160787,-0.7647430339854611
1M,30,OLS,3702,25.50250908537632,20.217935301786547,55.87679005674142,50.12770722691352,0.7079234483992131,0.0056145195688485925,99.97298757428416,56.44420426911646,-0.5674142123750414,0.1560854757677103,5919.493376964067,3203.167557613947,22.471328083933276,-0.33728153842021724,-0.35188476140730063
1M,30,Persistence Direction,3702,22.38821410437772,17.191367685372217,53.537544049878015,53.13852813852814,0.5772076961026147,0.062417625945142365,99.64883846569423,56.35673624288425,-2.819192193006238,0.012827523737315836,4774.81822464105,2565.9647753512104,16.835723867641143,-0.0306137449901136,-0.041868130771452794
1M,30,Random Walk with Drift,3702,22.05319341503958,17.045540030913145,56.44420426911646,50.0,0.7215889464594128,,99.97298757428416,56.44420426911646,0.0,,4908.008686420924,2672.1420630984744,17.786055024792763,0.0,-0.010920081200204823
1M,30,VS-LSTM,3702,22.891409492724947,17.445679739178775,50.60794379897325,45.842855819268365,0.6543116490166414,-0.12039760366428245,99.97298757428416,56.44420426911646,-5.836260470143209,1.815913572932979e-22,4704.392391308394,2565.6955499025444,17.48101201786117,-0.07746233099002953,-0.0892283071346025
1M,30,Zero Return,3702,21.933759370414652,16.61559191980186,,,,,0.0,,,,4707.873612533515,2511.941566180443,16.172505939013444,0.010802121160003009,0.0
24M,730,ARIMA,2302,173.02759452843745,146.82853164536525,73.1537793223284,48.55824682814302,0.8449573507275464,-0.08528063596425975,100.0,75.32580364900086,-2.1720243266724566,1.7763568394002505e-15,141729.1007949114,84820.07809449718,455.5416633490823,-0.4824090412818045,-0.4419470138127577
24M,730,Adaptive Ensemble,2302,42.08174798570141,29.36181808664212,87.88010425716767,75.44014084507043,0.9255404323458767,0.6620296076793954,100.0,75.32580364900086,12.554300608166812,2.010764683385949e-87,9161.826996122552,6065.75632555775,27.091554789131177,0.9123150906863009,0.9147084309253782
24M,730,GLS,2302,164.50928889464095,135.9956982102511,55.77758470894874,70.58671231541499,0.5848287112561175,0.3831562330954023,100.0,75.32580364900086,-19.548218940052124,6.709621726044027e-30,18276.653762936043,13296.888574755365,62.98304396093698,-0.34004124282968107,-0.3034651129848802
24M,730,GLS-LSTM,2302,181.12297514761232,156.69032583594355,38.010425716768026,58.7931713696249,0.30151737640724424,0.2224033672023996,100.0,75.32580364900086,-37.315377932232835,5.326749814473416e-85,20852.848103394037,15342.284719751735,69.32851421625436,-0.6243679108096396,-0.5800311473410449
24M,730,Historical Mean,2302,142.1121934267841,116.10709296702336,75.32580364900086,50.0,0.8592666005946482,,100.0,75.32580364900086,0.0,,118223.78282967718,73541.08780531955,346.5033873064181,0.0,0.027294779202142516
24M,730,Historical Median,2302,129.8432076813359,101.93100133696416,75.32580364900086,50.0,0.8592666005946482,,100.0,75.32580364900086,0.0,,90757.21048099767,57801.30836685291,283.68278197703665,0.16521278991814248,0.18799812249809933
