horizon,horizon_days,alpha,n,MCS_members,MCS_size,MCS_p_value,MCS_method
12M,365,0.05,3032,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.509,bootstrap Hansen-style TR approximation
12M,365,0.1,3032,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.509,bootstrap Hansen-style TR approximation
12M,365,0.15,3032,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.509,bootstrap Hansen-style TR approximation
15D,15,0.05,3732,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.482,bootstrap Hansen-style TR approximation
15D,15,0.1,3732,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.482,bootstrap Hansen-style TR approximation
15D,15,0.15,3732,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.482,bootstrap Hansen-style TR approximation
1M,30,0.05,3702,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.476,bootstrap Hansen-style TR approximation
1M,30,0.1,3702,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.476,bootstrap Hansen-style TR approximation
1M,30,0.15,3702,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.476,bootstrap Hansen-style TR approximation
24M,730,0.05,2302,"ARIMA, Adaptive Ensemble, GLS, GLS-LSTM, Historical Mean, Historical Median, LSTM, Majority Direction, OLS, Persistence Direction, Random Walk with Drift, VS-LSTM, Zero Return",13,0.444,bootstrap Hansen-style TR approximation
